"patent_id"	"latin_name"	"plant_variety"
"PP27124"	"Hypericum hybrida"	"Allcalyp"
"PP21247"	"Rosa hybrida"	"KORsouba"
"PP20675"	"Lavandula lannatum×Lavandula angustifolia"	"Silver Royalty"
"PP28153"	"Catharanthus roseus"	"Suncatha 2335"
"PP35995"	"Glandularia canadensis"	"Jelvercaro"
"PP19149"	"Solenostemon Scutellarioides"	"Balcenna"
"PP24439"	"Vitis vinifera"	"IFG Four"
"PP23742"	"Prunus hybrid"	"Purple Pride"
"PP15698"	"Chrysanthemum×morifolium"	"Yonew York"
"PP27200"	"Phalaenopsis hybrid"	"PHALCIMEI"
"PP33252"	"Fragaria x ananassa"	"Shannon M. Kent"
"PP27280"	"Clematis viticella"	"Evipo051"
"PP16930"	"Euphorbia martinii"	"Waleutiny"
"PP27099"	"Astrantia major"	"Pisa"
"PP35091"	"Vitis vinifera L."	"SV35-210-349"
"PP35379"	"Hydrangea paniculata"	"GRHPLF"
"PP27450"	"Prunus persica var. nucipersica"	"Polar Snow"
"PP32090"	"Phalaenopsis hybrid"	"PHALGAKXYN"
"PP22749"	"Phlox paniculata"	"Barsixtyfive"
"PP23714"	"Guzmania sp."	"JUNO"
"PP15803"	"Chrysanthemum morifolium"	"Follies"
"PP19626"	"Calibrachoa sp."	"Filindura Pink"
"PP22791"	"Kniphofia uvaria"	"Echo Rojo"
"PP24593"	"Begonia×hiemalis"	"KRSSUCO01"
"PP18527"	"Sutera grandiflora"	"KLESG05179"
"PP19676"	"Chrysanthemum×morifolium"	"Regal Yoirvine"
"PP34381"	"Chyrsanthemum X morifolium"	"DLFTAZA4"
"PP31460"	"Peperomia caperata"	"Brasilia"
"PP24875"	"Vaccinium corymbosum"	"BB05-185GA"
"PP26403"	"Prunus persica"	"Andes Nec-1"
"PP20944"	"Chamaesyce hypericifolia"	"Silvershadow"
"PP23088"	"Nemesia hybrida"	"KLENH10726"
"PP26049"	"Hypsizygus marmoreus"	"marmo shiro-2"
"PP29857"	"Gardenia jasminoides"	"4KIMYMJ01"
"PP16466"	"Rosa hybrid"	"Poultc005"
"PP35349"	"Coleus scutellarioides"	"UF20-140-2"
"PP32352"	"Cotinus coggygria"	"SMNCCPP3"
"PP33180"	"Hibiscus syriacus"	"MINSYBV3S01"
"PP16076"	"Heuchera hybrida"	"Starry Night"
"PP32110"	"Vaccinium corymbosum"	"Katahdin"
"PP28770"	"Monarda didyma"	"Pardon My Lavender"
"PP30708"	"Chamaecyparis lawsoniana"	"SMNCLGTB"
"PP23240"	"Petunia sensu Wijsman"	"DRAY263"
"PP21167"	"Vaccinium sp."	"Suziblue"
"PP16127"	"Argyranthemum frutescens"	"Supa3047"
"PP35482"	"Heuchera hybrid"	"PP2020"
"PP24526"	"Portulaca oleracea"	"SAKPOR006"
"PP23320"	"Symphyotrichum hybrid"	"Syast Draip"
"PP21369"	"Phlox paniculata"	"Ditomfav"
"PP31288"	"Citrus reticulata Blanco"	"Tamdori"
"PP21442"	"Limonium sinense"	"Jsada"
"PP29721"	"Anthurium andraeanum L."	"ANTHDASZUM"
"PP33030"	"Echeveria elegans x Echeveria shaviana"	"AMIECH2001"
"PP19855"	"Astilbe chinensis"	"Valery"
"PP28123"	"Capsicum annuum"	"E20B3751"
"PP22129"	"Coreopsis hybrid"	"Salsa"
"PP26281"	"Pelargonium grandiflorum"	"Camwhi"
"PP28520"	"Agapanthus hybrid"	"AMPU001"
"PP33518"	"Chrysanthemum x morifolium"	"CIFZ0076"
"PP26199"	"Carex hybrida"	"ET CRX01"
"PP25789"	"Brunnera macrophylla"	"Alexander's Great"
"PP35926"	"Hydrangea macrophylla"	"H223904"
"PP18104"	"Clematis viticella"	"Evipo037"
"PP25794"	"Fragaria×ananassa"	"Verity"
"PP27002"	"Dendrobium hybrid"	"SPCDW1005"
"PP36212"	"Vaccinium corymbosum"	"NC4499"
"PP35772"	"Rudbeckia fulgida"	"Sun Stream"
"PP34190"	"Fragaria x ananassa"	"Miss Jo"
"PP17193"	"Rhododendron sp."	"MNISIR"
"PP22697"	"Lagerstroemia (indica×fauriei)"	"JD818"
"PP22534"	"Hibiscus rosa-sinensis"	"DUP-MMS"
"PP21342"	"Osteospermum ecklonis"	"Fidostyel"
"PP29671"	"Rosa hybrida"	"FLORI 1301"
"PP22003"	"Thuja occidentalis"	"Thusid 1"
"PP21441"	"Verbena×hybrida"	"Bludena"
"PP19311"	"Coreopsis verticillata"	"Sunbeam"
"PP28187"	"Begonia×hiemalis"	"KRELECE01"
"PP27216"	"Bidens triplinervia"	"Hafltifrpu"
"PP18285"	"Nemesia×hybrida"	"Confetti Frosted Pink"
"PP22592"	"Veronica sp."	"Pink Explosion"
"PP20793"	"Streptocarpus×hybridus voss"	"Roulette Azur"
"PP18305"	"Lavandula stoechas"	"Blueberry Ruffles"
"PP32581"	"Leptospermum scoparium"	"RUYLEPLAR"
"PP33418"	"Dianthus L."	"KLEDG20461"
"PP34141"	"Buddleia davidii"	"Budcon1331"
"PP27517"	"Heuchera hybrid"	"Picasso"
"PP19516"	"Scaevola aemula"	"Bonscalib"
"PP21326"	"Euphorbia pulcherrima"	"Bonpripapcom"
"PP31908"	"Coreopsis hybrid"	"Sweet Tart"
"PP21084"	"Viola cornuta"	"Balvijac"
"PP19633"	"Osteospermum ecklonis"	"SUNNY XENA"
"PP15861"	"Pelargonium peltatum"	"Genstarpink"
"PP30283"	"Vitex trifolia x Vitex agnus-castus"	"Bailtexone"
"PP36186"	"Interspecific Prunus species"	"Sweet Pixie 6"
"PP27943"	"Caladium×hortulanum"	"Freckles"
"PP23119"	"Hypericum androsaemum"	"Bosafir"
"PP33028"	"Echeveria lilacina"	"OVPEARLS06"
"PP34482"	"Vitis vinifera L."	"‘SV33-101-337’"
"PP23933"	"Malus domestica"	"DS 22"
"PP30655"	"Canna x generalis"	"Red Tiger"
"PP22254"	"Pennisetum purpureum×[Pennisetum glaucum×(Pennisetum purpureum×Pennisetum squamulatum)]"	"Tift 8"
"PP33714"	"Echinacea spp."	"TNECHDSW"
"PP25087"	"Bidens triplinervia"	"Florbikano"
"PP23098"	"Penstemon schmidel"	"Marble Riding Hood"
"PP16762"	"Chrysanthemum morifolium"	"Starstruck Pink"
"PP31823"	"Interspecific Prunus species"	"Ebony Punch"
"PP35890"	"Jamesbrittenia hybrida"	"ja19 50-008"
"PP32048"	"Thuja standishii x Thuja plicata"	"RLH-GG"
"PP30534"	"Salvia  pratensis (Linnaeus)"	"Azure Snow"
"PP29533"	"Rosa hybrida"	"Radwire"
"PP23971"	"Aglaonema hybrida"	"Mukgres"
"PP35410"	"Prunus persica (L.) Batsch."	"SWEETJAZZY"
"PP20172"	"Hydrangea macrophylla"	"Sidashar"
"PP21805"	"Chrysanthemum×morifolium"	"Caprice Pink"
"PP31073"	"Rosa hybrida"	"ALTmine"
"PP29093"	"Gaultheria procumbens"	"Gaulsidh5"
"PP33381"	"Scaevola aemula"	"Bonsca 210"
"PP25410"	"Hydrangea macrophylla"	"H211908"
"PP28180"	"Chrysanthemum×morifolium"	"Vigorelli Dark Orange"
"PP20430"	"Chrysanthemum morifolium"	"PPP BELG 07"
"PP30812"	"Rosa hybrida"	"MEIVANAE"
"PP16172"	"Chrysanthemum×morifolium"	"Anastasia Bronze"
"PP21990"	"Albizia julibrissin"	"Nurcar 10"
"PP17537"	"Acer pseudoplatanus"	"Tunpetti"
"PP15833"	"Calibrachoa sp."	"KLEC02060"
"PP22459"	"Rubus idaeus"	"BP1"
"PP31035"	"Vaccinium hybrid"	"Ridley 1607"
